article_id,quality_score,entity_preservation_rate,entity_passed,format_passed
30,0.8799999999999999,1.0,True,False
0,1.0,1.0,True,True
22,0.8049999999999999,0.875,True,False
31,0.8799999999999999,1.0,True,False
18,0.8799999999999999,1.0,True,False
28,0.8799999999999999,1.0,True,False
10,0.8799999999999999,1.0,True,False
53,0.8799999999999999,1.0,True,False
4,0.8200000000000001,0.9,True,False
12,0.76,0.8,False,False
49,0.8799999999999999,1.0,True,False
33,0.8799999999999999,1.0,True,False
68,0.8133333333333332,0.8888888888888888,True,False
35,0.8799999999999999,1.0,True,False
69,0.8799999999999999,1.0,True,False
45,0.8254545454545454,0.9090909090909091,True,False
75,0.8799999999999999,1.0,True,False
62,0.8799999999999999,1.0,True,False
56,0.8799999999999999,1.0,True,False
40,0.8799999999999999,1.0,True,False
