article_id,quality_score,entity_preservation_rate,entity_passed,format_passed
30,0.6133333333333333,0.5555555555555556,False,False
0,0.78,0.8333333333333334,False,False
22,0.8799999999999999,1.0,True,False
31,0.8799999999999999,1.0,True,False
18,0.6133333333333333,0.5555555555555556,False,False
28,0.8799999999999999,1.0,True,False
10,0.6799999999999999,0.6666666666666666,False,False
53,0.8799999999999999,1.0,True,False
4,0.76,0.8,False,False
12,0.8799999999999999,1.0,True,False
49,0.8133333333333332,0.8888888888888888,True,False
33,0.4514285714285714,0.2857142857142857,False,False
68,0.8133333333333332,0.8888888888888888,True,False
35,0.8049999999999999,0.875,True,False
69,0.8799999999999999,1.0,True,False
45,0.8799999999999999,1.0,True,False
75,0.8049999999999999,0.875,True,False
62,0.7,0.7,False,False
56,0.6133333333333333,0.5555555555555556,False,False
40,0.76,0.8,False,False
