article_id,quality_score,entity_preservation_rate,entity_passed,format_passed
30,0.7466666666666666,0.7777777777777778,False,False
0,0.78,0.8333333333333334,False,False
22,0.8049999999999999,0.875,True,False
31,0.8799999999999999,1.0,True,False
18,0.8133333333333332,0.8888888888888888,True,False
28,0.8799999999999999,1.0,True,False
10,0.6799999999999999,0.6666666666666666,False,False
53,0.7942857142857143,0.8571428571428571,True,False
4,0.7,0.7,False,False
12,0.76,0.8,False,False
49,0.7466666666666666,0.7777777777777778,False,False
33,0.4514285714285714,0.2857142857142857,False,False
68,0.8133333333333332,0.8888888888888888,True,False
35,0.8049999999999999,0.875,True,False
69,0.8799999999999999,1.0,True,False
45,0.8254545454545454,0.9090909090909091,True,False
75,0.73,0.75,False,False
62,0.58,0.5,False,False
56,0.8799999999999999,1.0,True,False
40,0.7,0.7,False,False
